id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
3798	0.698284708393457	0.31269087348190244	6.588638776917774	9.418849956740378e-6	7.971394394653506e-5	3.3913509843061194	Cell2_inhibitor1 - Cell2_DMSO
5563	-0.7038722330843844	-0.09131996351529637	-6.58836096831519	9.423304546000703e-6	7.971394394653506e-5	3.390864322624993	Cell2_inhibitor1 - Cell2_DMSO
2042	-0.44001561742304035	-0.07990298862269797	-6.582306046222539	9.520943757428535e-6	8.040610973881507e-5	3.3802547389097937	Cell2_inhibitor1 - Cell2_DMSO
1518	0.6904194914456485	-0.03190513534380517	6.580239834509367	9.554504634014916e-6	8.055572397899143e-5	3.3766331139466716	Cell2_inhibitor1 - Cell2_DMSO
1563	1.1444193161034468	-0.10185266220619028	6.579249434199512	9.570635322127663e-6	8.055812910214743e-5	3.3748969462199794	Cell2_inhibitor1 - Cell2_DMSO
3633	0.47060726858436136	0.15540911638995367	6.5651630759506885	9.803173373134992e-6	8.237906351903852e-5	3.3501889634540047	Cell2_inhibitor1 - Cell2_DMSO
3891	0.6650573547634677	0.16053525293758103	6.562996531746381	9.83946044346394e-6	8.254755263130474e-5	3.3463863368661686	Cell2_inhibitor1 - Cell2_DMSO
3706	0.9249241997547896	-0.038947824477516074	6.553620537998539	9.998126356314289e-6	8.374048500082675e-5	3.3299225234218897	Cell2_inhibitor1 - Cell2_DMSO
4882	0.9215581436497624	0.09074275396871162	6.547581730942372	1.010173507056236e-5	8.446911364924184e-5	3.3193122342828625	Cell2_inhibitor1 - Cell2_DMSO
4344	0.5196703188585962	0.05014426723811422	6.546524404165763	1.0119991133674688e-5	8.448281596650592e-5	3.317453975139327	Cell2_inhibitor1 - Cell2_DMSO
773	0.9524082812441448	0.02907148503379157	6.54473160305918	1.0151025067654219e-5	8.460296958025254e-5	3.3143027622776016	Cell2_inhibitor1 - Cell2_DMSO
5805	0.914634072881803	-0.32511583631979096	6.539060288793299	1.0249855121424555e-5	8.528684686959482e-5	3.304331353036436	Cell2_inhibitor1 - Cell2_DMSO
2385	0.783452033152978	0.0571049127737378	6.535981569847532	1.0303927227773033e-5	8.55966765130688e-5	3.2989164344620834	Cell2_inhibitor1 - Cell2_DMSO
5360	-1.3901783183352863	-0.2391888364338948	-6.533748651039608	1.0343331195873368e-5	8.578384306659088e-5	3.294988309686965	Cell2_inhibitor1 - Cell2_DMSO
1349	1.110853193680488	0.02794826903393381	6.531153403421822	1.03893274506026e-5	8.602498494928927e-5	3.2904219160308807	Cell2_inhibitor1 - Cell2_DMSO
1748	0.5653106629691187	-0.03891484263936462	6.530096475205108	1.0408120987356092e-5	8.604046682881037e-5	3.2885619620047946	Cell2_inhibitor1 - Cell2_DMSO
4854	0.7197028986141952	-0.06346962643661097	6.526324175450096	1.0475488041303604e-5	8.638606404767111e-5	3.2819223132789324	Cell2_inhibitor1 - Cell2_DMSO
5425	-0.9903863158085509	-0.006956221572169439	-6.525141331870039	1.0496705567617953e-5	8.638606404767111e-5	3.279839978557777	Cell2_inhibitor1 - Cell2_DMSO
5004	-0.6835968395549048	0.06493618972093135	-6.524907664051051	1.0500902356699596e-5	8.638606404767111e-5	3.279428595664668	Cell2_inhibitor1 - Cell2_DMSO
2154	1.026693638808654	-0.3228955384281711	6.5217083658271084	1.0558540342367302e-5	8.67199016164707e-5	3.2737953272187257	Cell2_inhibitor1 - Cell2_DMSO
