id	Phos_number	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
5080	1	-0.47008177961504805	0.28560341108296017	-1.2867423259992123	0.22058788282104155	0.4072335291029863	-6.583050976405434	Cell2_inhibitor1 - Cell2_DMSO
7266	1	0.867528003163364	-0.32334616189024273	1.2845217587065756	0.22133990792911806	0.40848610915157835	-6.585767976781671	Cell2_inhibitor1 - Cell2_DMSO
3380	1	0.34583579063719905	-0.23625302188492395	1.2842304793563892	0.22143870585303285	0.40853271704204497	-6.586124105446217	Cell2_inhibitor1 - Cell2_DMSO
3424	1	0.5849281798922429	-0.20164010698420695	1.2824227751691433	0.22205264430792335	0.4094450785012826	-6.58833287115348	Cell2_inhibitor1 - Cell2_DMSO
7085	2	-0.8631213940265583	-0.31452704137900345	-1.2823404039258293	0.22208065193957954	0.4094450785012826	-6.5884334600567	Cell2_inhibitor1 - Cell2_DMSO
4643	1	0.8217649358134861	0.2726340817256594	1.2791832953950217	0.2231562560038778	0.41129163971517624	-6.592285035815955	Cell2_inhibitor1 - Cell2_DMSO
8599	1	0.6504114872550297	0.04170918435689508	1.2789635580267869	0.22323127381350913	0.4112934414706611	-6.592552834568383	Cell2_inhibitor1 - Cell2_DMSO
1605	1	-0.78932956857972425	-0.16624652969959428	-1.2786171342542016	0.22334958302568164	0.4113302755034001	-6.592974956316632	Cell2_inhibitor1 - Cell2_DMSO
5188	1	1.3269133352795546	-0.6481141185181072	1.278471426980787	0.22339935935081154	0.4113302755034001	-6.593152475960129	Cell2_inhibitor1 - Cell2_DMSO
4409	1	0.7992104184317038	-0.1082956014336929	1.2745693007207297	0.2247357013206438	0.4136536848363738	-6.5979007113418335	Cell2_inhibitor1 - Cell2_DMSO
5927	1	-0.6325486541772537	-0.3848355844414283	-1.2736660428755227	0.22504594410841014	0.4140875188877835	-6.5989982174742945	Cell2_inhibitor1 - Cell2_DMSO
